Frequency (Hz)	Level (dB)
5.383301	-62.889336
10.766602	-65.650085
16.149902	-63.364231
21.533203	-63.615925
26.916504	-57.540905
32.299805	-46.635578
37.683105	-44.033611
43.066406	-49.988159
48.449707	-65.717194
53.833008	-63.694790
59.216309	-66.000359
64.599609	-62.471310
69.982910	-64.997520
75.366211	-64.995583
80.749512	-65.357666
86.132813	-64.268112
91.516113	-62.958191
96.899414	-61.889839
102.282715	-64.093094
107.666016	-63.810417
113.049316	-63.234703
118.432617	-62.899319
123.815918	-62.861164
129.199219	-63.052750
134.582520	-67.448639
139.965820	-63.532768
145.349121	-54.910236
150.732422	-46.138195
156.115723	-41.477261
161.499023	-38.548416
166.882324	-37.172226
172.265625	-33.334358
177.648926	-29.391172
183.032227	-32.293358
188.415527	-41.965046
193.798828	-49.659264
199.182129	-52.586151
204.565430	-57.281685
209.948730	-59.557465
215.332031	-61.604179
220.715332	-60.864670
226.098633	-60.948715
231.481934	-62.755409
236.865234	-63.843678
242.248535	-64.419250
247.631836	-59.157673
253.015137	-60.740505
258.398438	-67.491135
263.781738	-69.367844
269.165039	-63.560570
274.548340	-60.178604
279.931641	-61.431393
285.314941	-64.012825
290.698242	-62.247116
296.081543	-61.290688
301.464844	-63.914806
306.848145	-58.182587
312.231445	-49.785130
317.614746	-43.486496
322.998047	-40.525005
328.381348	-39.914650
333.764648	-39.769402
339.147949	-40.307320
344.531250	-38.953953
349.914551	-31.793982
355.297852	-30.077538
360.681152	-34.135532
366.064453	-44.607227
371.447754	-50.086472
376.831055	-53.537781
382.214355	-58.684776
387.597656	-61.166153
392.980957	-61.484951
398.364258	-61.331863
403.747559	-60.905182
409.130859	-62.411068
414.514160	-63.768696
419.897461	-59.760639
425.280762	-55.891678
430.664063	-54.791981
436.047363	-52.545856
441.430664	-52.743168
446.813965	-51.081947
452.197266	-48.956642
457.580566	-46.524307
462.963867	-43.952942
468.347168	-42.483349
473.730469	-41.332195
479.113770	-40.184231
484.497070	-39.320133
489.880371	-39.184528
495.263672	-39.778316
500.646973	-40.891647
506.030273	-42.708454
511.413574	-42.198799
516.796875	-40.226887
522.180176	-39.807438
527.563477	-33.008339
532.946777	-29.744719
538.330078	-31.663151
543.713379	-38.183163
549.096680	-46.585400
554.479980	-49.575054
559.863281	-52.608883
565.246582	-55.138298
570.629883	-58.371410
576.013184	-59.564976
581.396484	-58.140858
586.779785	-56.950512
592.163086	-55.596367
597.546387	-53.382057
602.929688	-49.311855
608.312988	-46.370522
613.696289	-44.833939
619.079590	-44.478340
624.462891	-44.505177
629.846191	-44.786434
635.229492	-44.712082
640.612793	-43.099503
645.996094	-40.391212
651.379395	-38.651974
656.762695	-38.570972
662.145996	-40.126717
667.529297	-42.744076
672.912598	-35.861084
678.295898	-33.559368
683.679199	-39.191948
689.062500	-39.678059
694.445801	-37.113224
699.829102	-28.987856
705.212402	-25.128601
710.595703	-26.725315
715.979004	-29.099493
721.362305	-30.959597
726.745605	-31.054693
732.128906	-31.505533
737.512207	-37.023190
742.895508	-41.241203
748.278809	-37.787037
753.662109	-38.612057
759.045410	-44.502113
764.428711	-42.375443
769.812012	-37.673866
775.195313	-34.856819
780.578613	-33.571468
785.961914	-33.645462
791.345215	-33.132027
796.728516	-32.557571
802.111816	-32.311333
807.495117	-30.347260
812.878418	-29.519302
818.261719	-31.813086
823.645020	-37.169785
829.028320	-40.029873
834.411621	-39.178791
839.794922	-40.613400
845.178223	-41.545475
850.561523	-40.421581
855.944824	-42.014717
861.328125	-43.978100
866.711426	-44.455017
872.094727	-45.464584
877.478027	-35.377731
882.861328	-29.826738
888.244629	-29.691216
893.627930	-33.215790
899.011230	-40.097866
904.394531	-42.059452
909.777832	-38.672985
915.161133	-40.504078
920.544434	-45.521385
925.927734	-49.630188
931.311035	-56.300858
936.694336	-53.087914
942.077637	-47.164452
947.460938	-44.142567
952.844238	-42.235271
958.227539	-40.242439
963.610840	-38.233299
968.994141	-37.729275
974.377441	-38.170998
979.760742	-39.682652
985.144043	-44.185856
990.527344	-43.391251
995.910645	-41.143654
1001.293945	-42.137970
1006.677246	-42.817177
1012.060547	-42.937832
1017.443848	-40.722141
1022.827148	-38.359303
1028.210449	-41.803829
1033.593750	-45.393372
1038.977051	-41.185829
1044.360352	-41.699188
1049.743652	-42.050800
