Lag (seconds)	Frequency (Hz)	Level
0.000023	44100.000000	5.743424
0.000045	22050.000000	4.251887
0.000068	14700.000000	2.471311
0.000091	11025.000000	1.087348
0.000113	8820.000000	0.175138
0.000136	7350.000000	-0.336045
0.000159	6300.000000	-0.637640
0.000181	5512.500000	-0.784769
0.000204	4900.000000	-0.704997
0.000227	4410.000000	-0.431849
0.000249	4009.090909	-0.057271
0.000272	3675.000000	0.283236
0.000295	3392.307692	0.469297
0.000317	3150.000000	0.503219
0.000340	2940.000000	0.391254
0.000363	2756.250000	0.127380
0.000385	2594.117647	-0.114022
0.000408	2450.000000	-0.333776
0.000431	2321.052632	-0.466476
0.000454	2205.000000	-0.505143
0.000476	2100.000000	-0.381763
0.000499	2004.545455	-0.227700
0.000522	1917.391304	-0.021966
0.000544	1837.500000	0.103769
0.000567	1764.000000	0.213019
0.000590	1696.153846	0.205096
0.000612	1633.333333	0.120887
0.000635	1575.000000	-0.008397
0.000658	1520.689655	-0.117301
0.000680	1470.000000	-0.190080
0.000703	1422.580645	-0.212974
0.000726	1378.125000	-0.132091
0.000748	1336.363636	-0.041527
0.000771	1297.058824	0.075025
0.000794	1260.000000	0.170060
0.000816	1225.000000	0.239169
0.000839	1191.891892	0.210165
0.000862	1160.526316	0.128781
0.000884	1130.769231	0.020588
0.000907	1102.500000	-0.115669
0.000930	1075.609756	-0.195391
0.000952	1050.000000	-0.229677
0.000975	1025.581395	-0.200206
0.000998	1002.272727	-0.138348
0.001020	980.000000	-0.021746
0.001043	958.695652	0.073718
0.001066	938.297872	0.142316
0.001088	918.750000	0.176945
0.001111	900.000000	0.135159
0.001134	882.000000	0.061111
0.001156	864.705882	-0.022560
0.001179	848.076923	-0.107073
0.001202	832.075472	-0.142907
0.001224	816.666667	-0.143125
0.001247	801.818182	-0.091085
0.001270	787.500000	-0.052821
0.001293	773.684211	0.043259
0.001315	760.344828	0.106900
0.001338	747.457627	0.150218
0.001361	735.000000	0.172120
0.001383	722.950820	0.117535
0.001406	711.290323	0.059486
0.001429	700.000000	-0.024983
0.001451	689.062500	-0.009112
0.001474	678.461538	-0.095804
0.001497	668.181818	-0.072719
0.001519	658.208955	-0.025661
0.001542	648.529412	0.021312
0.001565	639.130435	0.057598
0.001587	630.000000	0.077105
0.001610	621.126761	0.068790
0.001633	612.500000	0.069883
0.001655	604.109589	0.022248
0.001678	595.945946	-0.012280
0.001701	588.000000	-0.050622
0.001723	580.263158	-0.069888
0.001746	572.727273	-0.066929
0.001769	565.384615	-0.041274
0.001791	558.227848	0.002620
0.001814	551.250000	0.010770
