Frequency (Hz)	Level (dB)
2.691650	-47.774174
5.383301	-49.933754
8.074951	-55.217667
10.766602	-64.974007
13.458252	-72.554977
16.149902	-76.093620
18.841553	-72.681763
21.533203	-77.656754
24.224854	-91.281349
26.916504	-74.859924
29.608154	-69.640732
32.299805	-67.285210
34.991455	-69.826530
37.683105	-76.436104
40.374756	-71.557617
43.066406	-70.733093
45.758057	-70.965492
48.449707	-77.167030
51.141357	-72.696793
53.833008	-67.763252
56.524658	-70.764404
59.216309	-81.609467
61.907959	-83.691078
64.599609	-81.238655
67.291260	-72.754494
69.982910	-69.544815
72.674561	-70.371109
75.366211	-73.735268
78.057861	-77.236725
80.749512	-75.911644
83.441162	-74.258659
86.132813	-81.586929
88.824463	-76.932144
91.516113	-73.097260
94.207764	-73.733788
96.899414	-78.519180
99.591064	-83.154007
102.282715	-73.689812
104.974365	-70.786530
107.666016	-71.978844
110.357666	-71.665672
113.049316	-70.394295
115.740967	-77.255417
118.432617	-67.978256
121.124268	-67.237427
123.815918	-77.595093
126.507568	-72.493530
129.199219	-69.746071
131.890869	-69.088387
134.582520	-73.816864
137.274170	-74.803505
139.965820	-74.907150
142.657471	-72.899094
145.349121	-66.926498
148.040771	-73.234360
150.732422	-67.425095
153.424072	-64.584808
156.115723	-68.037758
158.807373	-60.909512
161.499023	-65.767090
164.190674	-60.499382
166.882324	-56.421410
169.573975	-60.731556
172.265625	-49.894722
174.957275	-45.452499
177.648926	-44.926662
180.340576	-43.850006
183.032227	-42.298264
185.723877	-39.555584
188.415527	-36.510590
191.107178	-35.917156
193.798828	-37.030098
196.490479	-37.828686
199.182129	-37.622833
201.873779	-37.775589
204.565430	-38.318890
207.257080	-37.942528
209.948730	-37.417385
212.640381	-37.412350
215.332031	-37.833580
218.023682	-38.931217
220.715332	-40.829166
223.406982	-43.224560
226.098633	-46.138165
228.790283	-50.018040
231.481934	-54.785950
234.173584	-60.120903
236.865234	-68.072388
239.556885	-71.773323
242.248535	-70.765587
244.940186	-83.131035
247.631836	-75.757080
250.323486	-70.997169
253.015137	-70.958038
255.706787	-75.864029
258.398438	-77.516350
261.090088	-86.574722
263.781738	-72.668770
266.473389	-72.630905
269.165039	-80.914856
271.856689	-72.157722
274.548340	-71.372124
277.239990	-68.505295
279.931641	-68.976212
282.623291	-88.138977
285.314941	-67.738487
288.006592	-64.872925
290.698242	-66.557030
293.389893	-72.431679
296.081543	-77.528976
298.773193	-70.598740
301.464844	-75.668442
304.156494	-69.347137
306.848145	-63.658760
309.539795	-67.453926
312.231445	-68.475922
314.923096	-64.271881
317.614746	-71.049240
320.306396	-68.270172
322.998047	-66.863586
325.689697	-65.626266
328.381348	-59.811523
331.072998	-63.698257
333.764648	-70.283318
336.456299	-63.595921
339.147949	-64.456635
341.839600	-57.163746
344.531250	-57.992222
347.222900	-58.686558
349.914551	-52.061710
352.606201	-51.140759
355.297852	-49.488358
357.989502	-48.460808
360.681152	-55.278858
363.372803	-50.867870
366.064453	-45.398258
368.756104	-45.348965
371.447754	-45.119049
374.139404	-41.834175
376.831055	-40.101700
379.522705	-40.315514
382.214355	-40.862144
384.906006	-39.564663
387.597656	-37.819260
390.289307	-37.329174
392.980957	-38.022934
395.672607	-39.401108
398.364258	-40.239502
401.055908	-39.116276
403.747559	-37.718670
406.439209	-37.185925
409.130859	-37.717422
411.822510	-39.193188
414.514160	-40.301594
417.205811	-39.233646
419.897461	-37.197617
422.589111	-35.602623
425.280762	-34.652290
427.972412	-34.313656
430.664063	-34.546616
433.355713	-35.217827
436.047363	-36.242050
438.739014	-37.741688
441.430664	-39.930908
444.122314	-42.767712
446.813965	-45.561142
449.505615	-47.963894
452.197266	-51.520733
454.888916	-57.659370
457.580566	-63.060738
460.272217	-62.825447
462.963867	-61.292286
465.655518	-60.550014
468.347168	-65.965675
471.038818	-67.951775
473.730469	-59.541393
476.422119	-57.523167
479.113770	-59.582417
481.805420	-68.504509
484.497070	-62.555515
487.188721	-64.474274
489.880371	-61.817039
492.572021	-59.774467
