Frequency (Hz)	Level (dB)
5.383301	-61.688980
10.766602	-64.018852
16.149902	-77.883911
21.533203	-62.639534
26.916504	-77.646851
32.299805	-49.641270
37.683105	-44.222923
43.066406	-53.993469
48.449707	-67.198036
53.833008	-62.302845
59.216309	-60.225838
64.599609	-64.072601
69.982910	-65.299004
75.366211	-61.186760
80.749512	-65.703232
86.132813	-70.203201
91.516113	-71.488098
96.899414	-74.192787
102.282715	-64.885254
107.666016	-66.709534
113.049316	-63.742237
118.432617	-66.795464
123.815918	-73.498314
129.199219	-62.542370
134.582520	-63.584164
139.965820	-68.660538
145.349121	-66.651657
150.732422	-45.463570
156.115723	-41.198971
161.499023	-41.134933
166.882324	-32.866753
172.265625	-27.932608
177.648926	-28.033134
183.032227	-34.379601
188.415527	-48.266670
193.798828	-60.399063
199.182129	-58.812969
204.565430	-63.908169
209.948730	-63.048946
215.332031	-66.076927
220.715332	-62.987782
226.098633	-65.348778
231.481934	-72.613678
236.865234	-67.918785
242.248535	-64.966263
247.631836	-59.300892
253.015137	-59.811306
258.398438	-64.986870
263.781738	-68.793724
269.165039	-65.361893
274.548340	-62.576519
279.931641	-71.261902
285.314941	-67.733475
290.698242	-71.531044
296.081543	-62.682194
301.464844	-64.132233
306.848145	-63.819939
312.231445	-53.566292
317.614746	-43.277279
322.998047	-37.898685
328.381348	-40.112843
333.764648	-37.035374
339.147949	-34.511742
344.531250	-31.746895
349.914551	-28.175508
355.297852	-29.604893
360.681152	-35.771030
366.064453	-46.759209
371.447754	-57.047920
376.831055	-67.020584
382.214355	-69.338943
387.597656	-65.155014
392.980957	-62.256348
398.364258	-61.254883
403.747559	-64.973183
409.130859	-66.697769
414.514160	-65.441055
419.897461	-68.002945
425.280762	-57.968060
430.664063	-65.478813
436.047363	-55.588444
441.430664	-65.570793
446.813965	-59.226517
452.197266	-55.058987
457.580566	-51.963001
462.963867	-49.095444
468.347168	-46.938972
473.730469	-46.485970
479.113770	-42.556538
484.497070	-39.477077
489.880371	-38.419239
495.263672	-37.847088
500.646973	-38.433617
506.030273	-37.907166
511.413574	-35.112953
516.796875	-32.400219
522.180176	-31.008003
527.563477	-28.677156
532.946777	-29.351652
538.330078	-33.081463
543.713379	-44.846146
549.096680	-55.858490
554.479980	-57.102592
559.863281	-63.779625
565.246582	-58.094410
570.629883	-60.983662
576.013184	-61.224064
581.396484	-66.591881
586.779785	-83.774948
592.163086	-62.865864
597.546387	-63.794109
602.929688	-56.274132
608.312988	-55.140911
613.696289	-50.353600
619.079590	-49.220623
624.462891	-50.920906
629.846191	-47.807312
635.229492	-50.842899
640.612793	-46.398106
645.996094	-39.529278
651.379395	-35.400139
656.762695	-40.136570
662.145996	-41.581284
667.529297	-35.266525
672.912598	-30.408161
678.295898	-27.907410
683.679199	-30.167677
689.062500	-30.564501
694.445801	-28.661299
699.829102	-26.116697
705.212402	-24.601778
710.595703	-27.678350
715.979004	-34.931370
721.362305	-45.759174
726.745605	-44.015350
732.128906	-47.103741
737.512207	-38.505196
742.895508	-41.263153
748.278809	-41.321278
753.662109	-35.573540
759.045410	-36.610039
764.428711	-38.004360
769.812012	-46.142952
775.195313	-35.452721
780.578613	-33.603680
785.961914	-39.404278
791.345215	-34.418076
796.728516	-32.470684
802.111816	-38.096466
807.495117	-31.461353
812.878418	-26.189924
818.261719	-29.697929
823.645020	-35.324707
829.028320	-39.112362
834.411621	-37.162254
839.794922	-42.931385
845.178223	-37.522541
850.561523	-34.134644
855.944824	-36.251190
861.328125	-36.279125
866.711426	-35.541489
872.094727	-34.744091
877.478027	-31.129747
882.861328	-28.522255
888.244629	-29.958323
893.627930	-35.135338
899.011230	-42.984589
904.394531	-54.303944
909.777832	-54.422710
915.161133	-58.872719
920.544434	-63.478687
925.927734	-56.100319
931.311035	-60.022072
936.694336	-56.805340
942.077637	-49.725025
947.460938	-49.524704
952.844238	-44.374252
958.227539	-40.204651
963.610840	-37.568054
968.994141	-41.741135
974.377441	-42.583252
979.760742	-38.147541
985.144043	-39.891273
990.527344	-42.216541
995.910645	-38.723709
1001.293945	-37.693970
1006.677246	-37.430275
1012.060547	-36.370918
1017.443848	-33.676903
1022.827148	-31.864780
1028.210449	-33.210720
1033.593750	-34.218430
1038.977051	-33.274048
1044.360352	-33.588287
1049.743652	-33.172726
1055.126953	-31.332735
1060.510254	-29.836229
1065.893555	-30.774961
1071.276855	-33.056824
1076.660156	-39.668423
1082.043457	-43.210499
1087.426758	-57.761127
1092.810059	-50.495926
1098.193359	-53.864128
1103.576660	-52.093071
1108.959961	-45.222893
1114.343262	-48.343899
1119.726563	-43.438526
1125.109863	-41.049774
1130.493164	-42.282745
1135.876465	-42.596336
1141.259766	-44.007378
1146.643066	-40.145027
1152.026367	-38.323315
1157.409668	-38.426613
1162.792969	-38.353416
1168.176270	-40.439400
1173.559570	-37.556671
1178.942871	-35.712727
1184.326172	-35.333618
1189.709473	-37.042629
1195.092773	-32.514202
1200.476074	-32.211330
1205.859375	-31.387089
1211.242676	-27.642809
1216.625977	-27.444765
1222.009277	-25.902676
1227.392578	-25.019192
1232.775879	-25.009377
1238.159180	-21.282192
1243.542480	-21.915037
1248.925781	-21.717892
1254.309082	-30.558693
1259.692383	-30.934111
1265.075684	-33.290455
1270.458984	-25.379778
1275.842285	-27.355421
1281.225586	-27.485052
1286.608887	-28.697496
1291.992188	-28.449289
1297.375488	-32.752468
1302.758789	-35.009975
1308.142090	-34.342190
1313.525391	-31.325392
1318.908691	-32.508217
1324.291992	-35.006195
1329.675293	-35.776066
1335.058594	-34.501366
