Frequency (Hz)	Level (dB)
5.383301	-45.150185
10.766602	-55.616951
16.149902	-75.549889
21.533203	-73.860847
26.916504	-69.083832
32.299805	-63.979126
37.683105	-68.930641
43.066406	-66.545273
48.449707	-72.410400
53.833008	-65.500122
59.216309	-72.343903
64.599609	-72.148911
69.982910	-65.939293
75.366211	-70.162865
80.749512	-73.284775
86.132813	-73.179115
91.516113	-69.683937
96.899414	-75.993919
102.282715	-70.537903
107.666016	-65.737816
113.049316	-68.913361
118.432617	-66.449333
123.815918	-71.797127
129.199219	-66.041908
134.582520	-71.175018
139.965820	-76.323296
145.349121	-68.109192
150.732422	-70.207527
156.115723	-72.114609
161.499023	-68.470581
166.882324	-65.124779
172.265625	-47.343517
177.648926	-45.011974
183.032227	-41.734840
188.415527	-33.475460
193.798828	-32.600521
199.182129	-32.785862
204.565430	-32.518719
209.948730	-31.852957
215.332031	-32.493069
220.715332	-35.352337
226.098633	-40.290165
231.481934	-48.068642
236.865234	-61.462517
242.248535	-70.902420
247.631836	-74.382141
253.015137	-67.438095
258.398438	-74.981804
263.781738	-72.041138
269.165039	-77.044876
274.548340	-65.715881
279.931641	-67.703560
285.314941	-64.863014
290.698242	-62.500847
296.081543	-82.276932
301.464844	-81.880638
306.848145	-61.986717
312.231445	-62.625183
317.614746	-67.856598
322.998047	-64.454132
328.381348	-58.558517
333.764648	-67.374031
339.147949	-64.349953
344.531250	-66.396996
349.914551	-53.036556
355.297852	-49.287216
360.681152	-56.721298
366.064453	-44.565025
371.447754	-43.794739
376.831055	-37.182602
382.214355	-36.962948
387.597656	-33.444107
392.980957	-33.232086
398.364258	-34.803562
403.747559	-32.583111
409.130859	-32.467712
414.514160	-33.918247
419.897461	-31.411322
425.280762	-29.195719
430.664063	-29.097759
436.047363	-30.779058
441.430664	-34.273937
446.813965	-39.497631
452.197266	-45.746761
457.580566	-56.925102
462.963867	-57.477272
468.347168	-65.256981
473.730469	-56.241585
479.113770	-56.364883
484.497070	-64.280746
489.880371	-59.590839
495.263672	-67.641853
500.646973	-57.215492
506.030273	-51.034954
511.413574	-63.575024
516.796875	-54.028297
522.180176	-66.956306
527.563477	-42.894787
532.946777	-47.950928
538.330078	-46.209229
543.713379	-42.101109
549.096680	-37.501953
554.479980	-37.051205
559.863281	-35.938950
565.246582	-32.175842
570.629883	-30.091608
576.013184	-26.885118
581.396484	-27.754372
586.779785	-24.776834
592.163086	-23.829885
597.546387	-25.258974
602.929688	-25.349512
608.312988	-25.629282
613.696289	-26.593109
619.079590	-23.532578
624.462891	-22.973600
629.846191	-24.681652
635.229492	-24.220676
640.612793	-20.975374
645.996094	-18.672859
651.379395	-18.224646
656.762695	-19.660347
662.145996	-22.357264
667.529297	-26.616158
672.912598	-32.575909
678.295898	-37.161575
683.679199	-47.592262
689.062500	-44.302055
694.445801	-50.475670
699.829102	-46.075649
705.212402	-41.460178
710.595703	-35.558784
715.979004	-37.274391
721.362305	-27.713703
726.745605	-32.806206
732.128906	-29.989500
737.512207	-26.253075
742.895508	-24.964279
748.278809	-29.493305
753.662109	-26.056009
759.045410	-22.420019
764.428711	-20.628044
769.812012	-19.025995
775.195313	-18.311022
780.578613	-18.777838
785.961914	-17.386738
791.345215	-19.187214
796.728516	-18.663475
802.111816	-18.298988
807.495117	-22.017525
812.878418	-22.058830
818.261719	-19.550270
823.645020	-20.620171
829.028320	-20.885696
834.411621	-20.466095
839.794922	-20.645491
845.178223	-20.680822
850.561523	-20.687809
855.944824	-19.575600
861.328125	-18.604725
866.711426	-19.006470
872.094727	-20.728624
877.478027	-23.207088
882.861328	-27.288528
888.244629	-32.027290
893.627930	-35.544994
899.011230	-42.522358
904.394531	-39.203175
909.777832	-43.607643
915.161133	-45.631180
920.544434	-43.319901
925.927734	-42.357746
931.311035	-40.780869
936.694336	-36.090652
942.077637	-38.876572
947.460938	-39.101200
952.844238	-39.270294
958.227539	-40.239178
963.610840	-42.011963
968.994141	-46.451569
974.377441	-52.486141
979.760742	-53.550995
985.144043	-51.483273
990.527344	-57.415955
995.910645	-52.042030
1001.293945	-54.618439
1006.677246	-41.920860
1012.060547	-39.548161
1017.443848	-42.810886
1022.827148	-39.949989
1028.210449	-37.030087
1033.593750	-37.456936
1038.977051	-37.762825
1044.360352	-34.617245
1049.743652	-35.352970
1055.126953	-37.811676
1060.510254	-40.017452
1065.893555	-40.230911
1071.276855	-34.899490
1076.660156	-31.001942
1082.043457	-27.065601
1087.426758	-29.090466
1092.810059	-28.444958
1098.193359	-29.531689
1103.576660	-38.991810
1108.959961	-34.741230
1114.343262	-41.763260
1119.726563	-35.245087
1125.109863	-39.408394
1130.493164	-44.428535
1135.876465	-40.662971
1141.259766	-43.550171
1146.643066	-40.548668
1152.026367	-38.573952
1157.409668	-41.292770
1162.792969	-39.095585
1168.176270	-36.897789
1173.559570	-37.602314
1178.942871	-38.399242
1184.326172	-39.360340
1189.709473	-41.871880
1195.092773	-38.726978
1200.476074	-38.173767
1205.859375	-41.279739
1211.242676	-41.022316
1216.625977	-41.941578
1222.009277	-48.385262
1227.392578	-46.280148
1232.775879	-44.160553
1238.159180	-47.255398
1243.542480	-44.557457
1248.925781	-41.753368
1254.309082	-44.659248
1259.692383	-44.798355
1265.075684	-41.664890
1270.458984	-43.771423
1275.842285	-36.039192
1281.225586	-39.187336
1286.608887	-48.878040
1291.992188	-38.145870
1297.375488	-31.217590
1302.758789	-36.876759
1308.142090	-36.689384
1313.525391	-34.522503
1318.908691	-46.492622
1324.291992	-35.508492
1329.675293	-36.501072
1335.058594	-43.471336
1340.441895	-40.254025
1345.825195	-38.182087
1351.208496	-37.770809
1356.591797	-38.704910
1361.975098	-36.058464
1367.358398	-33.138561
1372.741699	-32.005207
1378.125000	-31.111702
1383.508301	-30.984753
1388.891602	-31.843838
1394.274902	-34.799656
1399.658203	-38.024071
1405.041504	-45.186661
1410.424805	-46.045193
1415.808105	-42.831497
1421.191406	-34.769150
1426.574707	-34.875813
1431.958008	-35.970539
1437.341309	-36.639366
1442.724609	-38.383636
1448.107910	-37.373428
1453.491211	-30.727747
1458.874512	-32.100342
1464.257813	-43.487301
1469.641113	-41.848469
1475.024414	-38.484875
1480.407715	-38.065800
1485.791016	-40.566406
1491.174316	-32.589294
1496.557617	-32.611240
1501.940918	-37.088478
1507.324219	-37.056133
1512.707520	-28.070601
1518.090820	-26.709620
1523.474121	-30.465679
1528.857422	-29.549484
1534.240723	-30.035139
1539.624023	-36.602478
1545.007324	-40.050449
1550.390625	-39.608250
1555.773926	-51.115627
1561.157227	-43.941196
1566.540527	-42.707966
1571.923828	-42.123001
1577.307129	-41.626358
1582.690430	-43.946167
1588.073730	-41.417080
1593.457031	-41.414093
1598.840332	-39.516788
1604.223633	-40.884083
1609.606934	-45.575706
1614.990234	-48.042843
1620.373535	-41.983990
1625.756836	-40.353722
1631.140137	-50.837543
1636.523438	-48.230896
1641.906738	-47.894943
1647.290039	-63.456894
1652.673340	-50.992790
1658.056641	-51.521141
1663.439941	-43.233711
1668.823242	-42.556732
1674.206543	-44.047817
1679.589844	-48.181957
1684.973145	-42.354561
1690.356445	-43.123611
1695.739746	-44.774307
1701.123047	-45.604107
1706.506348	-44.697781
1711.889648	-42.327312
1717.272949	-54.553143
1722.656250	-48.318577
1728.039551	-49.149433
1733.422852	-48.989723
1738.806152	-43.596043
1744.189453	-44.349693
1749.572754	-50.816193
1754.956055	-45.011532
1760.339355	-43.538116
1765.722656	-49.801350
1771.105957	-52.516323
1776.489258	-51.289265
1781.872559	-47.314812
1787.255859	-46.952816
1792.639160	-50.329567
1798.022461	-52.949951
1803.405762	-56.675850
1808.789063	-55.447430
1814.172363	-53.408749
1819.555664	-53.730625
1824.938965	-55.480320
1830.322266	-51.933033
1835.705566	-45.578297
1841.088867	-47.333984
1846.472168	-52.321281
1851.855469	-53.072712
1857.238770	-49.689701
1862.622070	-49.171753
1868.005371	-52.318142
1873.388672	-52.442814
1878.771973	-50.481888
1884.155273	-44.600655
1889.538574	-46.231857
1894.921875	-46.557140
1900.305176	-51.106853
1905.688477	-52.905861
1911.071777	-49.809414
1916.455078	-45.427715
1921.838379	-46.107708
1927.221680	-52.210506
1932.604980	-53.624485
1937.988281	-45.670753
1943.371582	-42.204899
1948.754883	-41.959663
1954.138184	-45.687870
1959.521484	-46.508987
1964.904785	-40.353794
1970.288086	-39.915958
1975.671387	-46.941254
1981.054688	-55.055687
1986.437988	-51.081150
1991.821289	-49.712128
1997.204590	-51.231789
2002.587891	-53.288795
2007.971191	-48.976738
2013.354492	-50.675503
2018.737793	-54.066170
2024.121094	-51.127213
2029.504395	-44.733128
2034.887695	-47.179283
2040.270996	-49.093983
2045.654297	-52.758514
2051.037598	-48.453129
2056.420898	-47.502895
2061.804199	-47.195408
2067.187500	-49.514069
2072.570801	-52.145325
2077.954102	-47.994148
2083.337402	-52.265450
2088.720703	-48.621319
2094.104004	-50.511715
2099.487305	-64.405388
2104.870605	-56.842873
2110.253906	-46.199528
2115.637207	-43.548382
2121.020508	-45.909863
2126.403809	-45.392109
2131.787109	-50.289154
2137.170410	-47.666309
2142.553711	-43.773865
2147.937012	-44.332226
2153.320313	-44.492718
2158.703613	-44.110928
2164.086914	-48.377327
2169.470215	-50.798470
2174.853516	-44.028755
2180.236816	-41.506294
2185.620117	-44.999199
2191.003418	-54.733177
2196.386719	-51.088554
2201.770020	-45.688183
2207.153320	-46.936348
2212.536621	-54.879539
2217.919922	-52.452026
2223.303223	-45.985878
2228.686523	-47.680969
2234.069824	-51.614063
2239.453125	-53.243618
2244.836426	-51.585403
2250.219727	-52.069847
2255.603027	-53.355282
2260.986328	-51.928532
2266.369629	-57.565853
2271.752930	-52.671852
2277.136230	-52.437939
2282.519531	-45.138195
2287.902832	-43.719456
2293.286133	-51.339886
2298.669434	-67.322617
2304.052734	-51.340374
2309.436035	-45.331032
2314.819336	-45.224915
2320.202637	-49.316784
2325.585938	-49.192162
2330.969238	-52.444206
2336.352539	-69.445946
2341.735840	-51.082657
2347.119141	-44.612556
2352.502441	-41.208061
2357.885742	-40.207554
2363.269043	-43.719521
2368.652344	-51.165024
2374.035645	-54.456726
2379.418945	-48.118832
2384.802246	-39.604134
2390.185547	-34.954220
2395.568848	-37.379402
2400.952148	-44.592743
2406.335449	-44.609505
2411.718750	-43.994282
2417.102051	-37.097160
2422.485352	-39.545929
2427.868652	-48.391487
2433.251953	-51.628033
2438.635254	-50.338074
2444.018555	-44.243862
2449.401855	-40.307137
2454.785156	-41.575329
2460.168457	-48.447132
2465.551758	-61.598572
2470.935059	-47.806198
2476.318359	-39.709057
2481.701660	-37.566380
2487.084961	-41.613277
2492.468262	-43.140648
2497.851563	-45.520679
2503.234863	-41.214046
2508.618164	-37.523678
2514.001465	-39.543560
2519.384766	-38.413761
2524.768066	-37.778076
2530.151367	-39.956383
2535.534668	-48.842510
2540.917969	-44.014595
2546.301270	-38.496861
2551.684570	-35.497715
2557.067871	-33.712147
2562.451172	-33.663826
2567.834473	-35.133194
2573.217773	-37.525200
2578.601074	-61.533352
2583.984375	-36.742336
2589.367676	-39.759975
2594.750977	-35.696011
2600.134277	-32.502106
2605.517578	-27.712629
2610.900879	-28.110100
2616.284180	-38.874168
2621.667480	-35.047657
2627.050781	-34.499142
2632.434082	-35.116463
2637.817383	-35.119827
2643.200684	-40.391163
2648.583984	-39.619659
2653.967285	-40.985390
2659.350586	-48.784172
2664.733887	-55.016857
2670.117188	-43.017292
2675.500488	-39.798622
2680.883789	-39.186932
2686.267090	-40.574417
2691.650391	-42.551579
2697.033691	-47.660416
2702.416992	-44.604855
2707.800293	-49.672787
2713.183594	-44.479130
2718.566895	-40.662609
2723.950195	-45.071548
2729.333496	-51.499687
2734.716797	-50.474274
2740.100098	-56.107288
2745.483398	-49.162235
2750.866699	-45.754005
2756.250000	-45.147102
2761.633301	-45.005470
2767.016602	-43.525692
2772.399902	-44.809406
2777.783203	-48.238518
2783.166504	-55.709961
2788.549805	-52.203846
2793.933105	-52.894852
2799.316406	-52.631283
2804.699707	-51.196781
2810.083008	-51.320869
2815.466309	-51.590263
2820.849609	-54.117741
2826.232910	-56.172089
2831.616211	-57.763924
2836.999512	-51.416122
2842.382813	-49.716614
2847.766113	-54.959263
2853.149414	-64.167519
2858.532715	-66.111450
2863.916016	-70.414978
2869.299316	-58.599041
2874.682617	-56.287407
2880.065918	-59.678188
2885.449219	-63.341011
2890.832520	-64.373222
2896.215820	-71.708229
2901.599121	-64.272789
2906.982422	-59.446632
2912.365723	-55.140423
2917.749023	-56.799870
2923.132324	-59.093113
2928.515625	-57.369682
2933.898926	-60.388565
2939.282227	-74.742409
2944.665527	-61.069607
2950.048828	-61.856560
2955.432129	-63.832802
2960.815430	-59.814156
2966.198730	-56.795952
2971.582031	-58.476288
2976.965332	-63.348274
2982.348633	-68.124626
2987.731934	-67.142075
2993.115234	-68.277946
2998.498535	-71.276726
3003.881836	-69.892967
3009.265137	-64.482269
3014.648438	-66.254463
3020.031738	-69.644089
3025.415039	-66.351570
3030.798340	-63.209602
3036.181641	-65.179909
3041.564941	-68.271210
3046.948242	-61.289268
3052.331543	-60.018246
3057.714844	-63.610100
3063.098145	-63.474842
3068.481445	-68.364853
3073.864746	-80.764297
3079.248047	-76.110855
3084.631348	-69.406487
3090.014648	-73.848587
3095.397949	-82.840370
3100.781250	-78.984039
3106.164551	-76.356895
3111.547852	-72.746094
3116.931152	-68.252632
3122.314453	-65.782814
3127.697754	-69.533394
3133.081055	-77.276123
3138.464355	-82.089226
3143.847656	-78.206398
3149.230957	-82.921280
3154.614258	-73.887856
3159.997559	-69.251945
3165.380859	-69.405258
3170.764160	-71.728828
3176.147461	-75.677864
3181.530762	-72.492508
3186.914063	-70.480980
3192.297363	-70.631310
3197.680664	-77.606949
3203.063965	-85.013275
3208.447266	-79.023079
3213.830566	-77.604599
3219.213867	-72.290756
3224.597168	-69.849243
3229.980469	-69.680122
3235.363770	-73.754303
3240.747070	-82.575424
3246.130371	-94.701546
3251.513672	-79.308975
3256.896973	-78.489937
3262.280273	-76.784767
3267.663574	-71.763336
3273.046875	-68.289246
3278.430176	-71.418198
3283.813477	-83.868088
3289.196777	-79.855827
3294.580078	-86.857704
3299.963379	-88.771553
3305.346680	-79.816376
3310.729980	-73.409386
3316.113281	-71.474014
3321.496582	-72.652603
3326.879883	-77.793831
3332.263184	-83.910172
3337.646484	-80.151688
3343.029785	-82.644394
3348.413086	-93.534355
3353.796387	-79.353752
3359.179688	-84.015106
3364.562988	-87.244339
3369.946289	-83.445518
3375.329590	-80.508614
3380.712891	-79.407494
3386.096191	-79.985268
3391.479492	-83.693993
3396.862793	-92.748596
3402.246094	-89.776718
3407.629395	-95.771492
3413.012695	-94.191040
3418.395996	-94.328491
3423.779297	-86.242165
3429.162598	-82.300262
3434.545898	-83.507851
3439.929199	-85.577110
3445.312500	-90.307320
3450.695801	-91.340958
3456.079102	-93.305954
3461.462402	-91.598595
3466.845703	-99.047890
3472.229004	-88.644737
3477.612305	-84.853600
3482.995605	-84.700455
3488.378906	-84.471809
3493.762207	-98.659676
3499.145508	-86.767784
3504.528809	-90.741432
3509.912109	-85.954140
3515.295410	-84.148560
3520.678711	-89.289658
3526.062012	-89.877655
3531.445313	-89.778893
3536.828613	-86.400703
3542.211914	-90.679855
3547.595215	-93.729462
3552.978516	-87.454376
3558.361816	-93.437218
3563.745117	-98.659637
3569.128418	-106.990570
3574.511719	-95.677719
3579.895020	-89.484489
3585.278320	-89.963272
3590.661621	-89.193985
3596.044922	-94.917801
3601.428223	-98.106926
3606.811523	-109.644928
3612.194824	-95.778839
3617.578125	-104.062042
3622.961426	-113.174126
3628.344727	-100.462677
3633.728027	-99.953781
3639.111328	-99.094986
3644.494629	-100.628059
3649.877930	-108.310562
3655.261230	-93.929039
3660.644531	-92.444763
3666.027832	-98.516296
3671.411133	-99.446495
3676.794434	-106.358742
3682.177734	-97.858658
3687.561035	-102.826851
3692.944336	-94.243576
3698.327637	-97.421051
3703.710938	-87.934563
3709.094238	-85.261169
3714.477539	-92.612015
3719.860840	-95.499847
3725.244141	-98.868301
3730.627441	-102.018661
3736.010742	-97.215279
3741.394043	-100.600403
3746.777344	-103.624977
3752.160645	-96.918083
3757.543945	-98.064270
3762.927246	-107.776802
3768.310547	-104.571014
3773.693848	-98.237671
3779.077148	-93.781837
3784.460449	-95.025162
3789.843750	-95.552788
3795.227051	-113.022446
3800.610352	-98.662033
3805.993652	-105.178291
3811.376953	-98.300804
3816.760254	-114.931496
3822.143555	-104.154167
3827.526855	-103.960289
3832.910156	-108.406837
3838.293457	-109.878822
3843.676758	-104.285515
3849.060059	-104.645630
3854.443359	-110.488159
3859.826660	-104.496338
3865.209961	-109.250717
3870.593262	-105.565918
3875.976563	-107.369217
3881.359863	-107.251717
3886.743164	-107.192558
3892.126465	-106.706139
3897.509766	-107.197662
3902.893066	-107.164001
3908.276367	-107.060974
3913.659668	-107.116280
3919.042969	-107.182777
3924.426270	-107.161339
3929.809570	-107.176537
