Frequency (Hz)	Level (dB)
21.533203	-57.446373
43.066406	-58.784237
64.599609	-58.820324
86.132813	-56.322990
107.666016	-45.848351
129.199219	-36.221062
150.732422	-33.594917
172.265625	-38.914169
193.798828	-53.343822
215.332031	-55.055611
236.865234	-49.670967
258.398438	-40.817600
279.931641	-32.867794
301.464844	-29.851612
322.998047	-34.700676
344.531250	-49.780277
366.064453	-51.953697
387.597656	-44.917656
409.130859	-39.279018
430.664063	-33.484001
452.197266	-31.169165
473.730469	-36.124454
495.263672	-44.102253
516.796875	-37.356140
538.330078	-32.543415
559.863281	-26.161266
581.396484	-19.306057
602.929688	-16.979158
624.462891	-21.644766
645.996094	-29.469166
667.529297	-25.805737
689.062500	-22.940298
710.595703	-19.199663
732.128906	-15.533134
753.662109	-13.965728
775.195313	-18.322308
796.728516	-26.214468
818.261719	-26.809032
839.794922	-27.896872
861.328125	-29.324352
882.861328	-29.950836
904.394531	-29.312069
925.927734	-33.518009
947.460938	-39.750919
968.994141	-39.412525
990.527344	-36.543102
1012.060547	-32.458035
1033.593750	-31.322466
1055.126953	-32.324306
1076.660156	-37.659946
1098.193359	-42.724812
1119.726563	-41.843613
1141.259766	-38.969257
1162.792969	-34.585651
1184.326172	-30.508854
1205.859375	-28.197292
1227.392578	-31.986340
1248.925781	-39.162399
1270.458984	-36.739136
1291.992188	-33.340389
1313.525391	-31.616974
1335.058594	-28.142941
1356.591797	-25.386227
1378.125000	-27.363573
1399.658203	-33.575806
1421.191406	-35.722752
1442.724609	-33.012733
1464.257813	-33.901180
1485.791016	-34.488411
1507.324219	-32.229321
1528.857422	-35.517735
1550.390625	-45.889507
1571.923828	-47.312218
1593.457031	-45.107643
1614.990234	-44.293934
1636.523438	-43.523956
1658.056641	-42.082626
1679.589844	-43.631001
1701.123047	-47.260159
1722.656250	-48.136341
1744.189453	-49.410957
1765.722656	-47.604115
1787.255859	-44.489555
1808.789063	-43.644924
1830.322266	-45.813290
1851.855469	-47.809288
1873.388672	-46.166794
1894.921875	-45.403656
1916.455078	-45.421169
1937.988281	-42.621948
1959.521484	-39.972076
1981.054688	-41.938213
2002.587891	-46.782169
2024.121094	-45.858124
2045.654297	-45.204037
2067.187500	-45.795906
2088.720703	-43.450581
2110.253906	-39.355610
2131.787109	-40.304447
2153.320313	-44.784203
2174.853516	-46.448517
2196.386719	-43.774960
2217.919922	-42.408855
2239.453125	-40.635784
2260.986328	-37.518047
2282.519531	-37.332813
2304.052734	-38.135166
2325.585938	-38.829338
2347.119141	-38.372993
2368.652344	-35.925667
2390.185547	-30.332832
2411.718750	-26.894171
2433.251953	-28.037458
2454.785156	-31.234146
2476.318359	-31.407570
2497.851563	-30.831219
2519.384766	-30.543747
2540.917969	-28.116289
2562.451172	-26.745546
2583.984375	-28.500868
2605.517578	-34.234653
2627.050781	-38.947670
2648.583984	-41.163448
2670.117188	-39.967579
2691.650391	-36.688953
2713.183594	-35.484142
2734.716797	-37.511299
2756.250000	-42.274784
2777.783203	-45.207382
2799.316406	-45.638550
2820.849609	-44.687340
2842.382813	-42.219757
2863.916016	-40.513176
2885.449219	-41.510815
2906.982422	-46.502766
2928.515625	-49.223312
2950.048828	-48.836769
2971.582031	-47.276299
2993.115234	-45.071846
3014.648438	-43.239895
3036.181641	-43.457977
3057.714844	-47.115997
3079.248047	-49.596169
3100.781250	-49.997833
3122.314453	-47.466282
3143.847656	-46.039528
3165.380859	-44.777962
3186.914063	-45.318378
3208.447266	-48.852085
3229.980469	-50.189926
3251.513672	-50.535610
3273.046875	-47.674503
3294.580078	-44.818951
3316.113281	-42.306713
3337.646484	-42.929554
3359.179688	-48.969997
3380.712891	-52.286663
3402.246094	-52.768024
3423.779297	-49.440491
3445.312500	-46.799458
3466.845703	-42.943783
3488.378906	-42.776711
3509.912109	-46.762314
3531.445313	-48.989262
3552.978516	-50.292194
3574.511719	-49.136749
3596.044922	-45.628914
3617.578125	-43.110294
3639.111328	-43.086613
3660.644531	-45.195084
3682.177734	-45.890724
3703.710938	-45.221279
3725.244141	-42.225368
3746.777344	-38.442219
3768.310547	-36.488708
3789.843750	-38.052586
3811.376953	-44.280785
3832.910156	-51.686455
3854.443359	-57.853310
3875.976563	-63.959461
3897.509766	-71.397171
3919.042969	-80.922462
3940.576172	-92.482666
3962.109375	-105.701843
3983.642578	-112.707565
4005.175781	-115.543533
4026.708984	-117.742165
4048.242188	-120.122299
4069.775391	-121.714104
4091.308594	-123.795891
4112.841797	-125.442673
4134.375000	-126.914917
4155.908203	-128.227448
4177.441406	-130.073212
4198.974609	-130.879227
4220.507813	-131.982101
4242.041016	-133.366547
4263.574219	-133.580673
4285.107422	-135.436707
4306.640625	-135.660278
4328.173828	-136.395203
4349.707031	-137.619415
4371.240234	-136.598694
4392.773438	-138.019379
4414.306641	-138.403931
4435.839844	-138.478882
4457.373047	-139.767059
4478.906250	-139.946121
4500.439453	-138.655624
4521.972656	-139.526337
4543.505859	-138.477219
4565.039063	-140.073624
4586.572266	-140.067383
4608.105469	-141.013947
4629.638672	-139.823349
4651.171875	-138.496262
4672.705078	-140.041565
4694.238281	-140.527771
4715.771484	-141.376953
4737.304688	-139.899887
4758.837891	-140.179398
4780.371094	-140.049484
4801.904297	-141.925751
4823.437500	-141.371231
4844.970703	-140.615036
4866.503906	-141.452927
4888.037109	-141.066589
4909.570313	-142.152451
4931.103516	-141.185257
4952.636719	-140.577957
4974.169922	-141.453705
4995.703125	-140.995972
5017.236328	-140.596085
5038.769531	-141.178879
5060.302734	-142.269592
5081.835938	-141.390366
5103.369141	-141.589996
5124.902344	-142.532990
5146.435547	-143.394028
5167.968750	-143.525635
5189.501953	-143.027817
5211.035156	-143.384079
5232.568359	-143.907455
5254.101563	-142.934982
5275.634766	-141.944534
5297.167969	-142.513275
5318.701172	-143.376190
5340.234375	-143.592728
5361.767578	-144.624619
5383.300781	-144.824799
5404.833984	-143.518372
5426.367188	-143.549881
5447.900391	-145.304169
5469.433594	-145.553009
5490.966797	-144.353790
5512.500000	-144.860413
5534.033203	-145.370804
5555.566406	-145.552551
5577.099609	-146.572464
5598.632813	-147.328186
5620.166016	-146.107422
5641.699219	-145.718445
5663.232422	-146.775208
5684.765625	-146.411880
5706.298828	-145.301971
5727.832031	-145.409409
5749.365234	-147.091415
5770.898438	-147.862778
5792.431641	-147.862518
5813.964844	-146.555054
5835.498047	-147.243378
5857.031250	-146.503693
5878.564453	-146.863083
5900.097656	-147.303818
5921.630859	-147.916321
5943.164063	-148.013763
5964.697266	-149.088364
5986.230469	-148.719559
6007.763672	-148.176697
6029.296875	-147.704803
6050.830078	-148.406265
6072.363281	-149.739166
6093.896484	-150.134933
6115.429688	-149.278702
6136.962891	-149.015076
6158.496094	-150.180664
6180.029297	-151.837570
6201.562500	-152.389816
6223.095703	-150.588654
6244.628906	-150.073853
6266.162109	-149.954956
6287.695313	-151.882233
6309.228516	-150.877350
6330.761719	-151.042953
6352.294922	-154.370209
6373.828125	-152.880035
6395.361328	-152.904221
6416.894531	-153.318619
6438.427734	-152.543076
6459.960938	-152.083374
6481.494141	-151.913757
6503.027344	-152.439606
6524.560547	-153.081146
6546.093750	-153.250519
6567.626953	-153.050415
6589.160156	-152.649185
6610.693359	-152.312393
6632.226563	-152.913696
6653.759766	-154.336044
6675.292969	-153.404068
6696.826172	-152.460403
6718.359375	-153.968903
6739.892578	-154.646454
6761.425781	-154.623703
6782.958984	-154.446991
6804.492188	-155.147110
6826.025391	-154.657715
6847.558594	-153.592682
6869.091797	-154.227585
6890.625000	-155.965652
6912.158203	-156.619598
6933.691406	-155.165390
6955.224609	-155.617584
6976.757813	-157.050461
6998.291016	-157.385361
7019.824219	-157.728058
7041.357422	-156.798889
7062.890625	-155.690399
7084.423828	-156.441071
7105.957031	-157.943604
7127.490234	-157.585297
7149.023438	-158.465164
7170.556641	-160.556747
7192.089844	-159.693680
7213.623047	-158.564316
7235.156250	-159.572647
7256.689453	-159.576813
7278.222656	-159.335327
7299.755859	-158.877548
7321.289063	-157.435776
7342.822266	-158.784897
7364.355469	-160.376450
7385.888672	-161.866943
7407.421875	-161.596344
7428.955078	-160.881195
7450.488281	-160.734589
7472.021484	-162.073059
7493.554688	-161.524857
7515.087891	-160.235184
7536.621094	-161.399429
7558.154297	-162.366302
7579.687500	-161.152542
7601.220703	-160.951782
7622.753906	-160.816742
7644.287109	-160.919907
7665.820313	-161.463547
7687.353516	-162.350922
7708.886719	-162.343628
7730.419922	-162.302872
7751.953125	-161.991394
7773.486328	-163.211349
7795.019531	-163.974167
7816.552734	-163.395996
7838.085938	-163.242493
7859.619141	-165.051941
7881.152344	-164.885910
7902.685547	-163.548508
7924.218750	-163.117249
7945.751953	-165.033279
7967.285156	-164.607422
7988.818359	-164.068756
8010.351563	-165.170944
8031.884766	-166.229660
8053.417969	-166.118011
8074.951172	-166.207138
8096.484375	-166.406570
8118.017578	-166.070953
8139.550781	-167.008850
8161.083984	-166.535141
8182.617188	-166.460892
8204.150391	-165.974823
8225.683594	-166.994980
8247.216797	-167.823807
8268.750000	-166.992416
8290.283203	-167.438278
8311.816406	-167.242645
8333.349609	-167.222778
8354.882813	-169.211685
8376.416016	-168.379959
8397.949219	-168.212250
8419.482422	-168.859360
8441.015625	-168.440170
8462.548828	-168.582764
8484.082031	-169.882355
8505.615234	-169.813690
8527.148438	-169.855133
8548.681641	-170.754944
8570.214844	-170.124191
8591.748047	-169.293320
8613.281250	-170.536987
8634.814453	-169.457718
8656.347656	-170.143631
8677.880859	-169.423035
8699.414063	-171.612534
8720.947266	-171.698853
8742.480469	-171.227646
8764.013672	-173.495667
8785.546875	-172.036392
8807.080078	-171.629456
8828.613281	-170.935043
8850.146484	-169.650757
8871.679688	-168.776596
8893.212891	-171.034500
8914.746094	-170.421997
8936.279297	-170.792770
8957.812500	-172.918427
8979.345703	-170.804031
9000.878906	-166.618408
9022.412109	-169.150726
9043.945313	-169.260605
9065.478516	-173.517685
9087.011719	-173.365601
9108.544922	-173.781677
9130.078125	-173.318680
9151.611328	-174.514267
9173.144531	-174.838150
9194.677734	-173.260361
9216.210938	-174.670654
9237.744141	-172.874130
9259.277344	-174.165985
9280.810547	-173.922150
9302.343750	-174.472748
9323.876953	-175.447159
9345.410156	-174.084641
9366.943359	-173.603546
9388.476563	-173.948837
9410.009766	-175.051361
9431.542969	-175.119934
9453.076172	-174.593903
9474.609375	-174.838821
9496.142578	-175.054947
9517.675781	-174.290680
9539.208984	-173.080933
9560.742188	-172.594025
9582.275391	-173.041092
9603.808594	-173.394852
9625.341797	-173.224030
9646.875000	-174.556625
9668.408203	-173.571854
9689.941406	-174.037079
9711.474609	-172.755142
9733.007813	-173.988617
9754.541016	-175.775238
9776.074219	-177.525024
9797.607422	-175.426788
9819.140625	-175.449097
9840.673828	-175.176590
9862.207031	-176.868881
9883.740234	-176.773010
9905.273438	-176.613113
9926.806641	-175.753189
9948.339844	-176.756134
9969.873047	-174.317429
9991.406250	-176.618896
10012.939453	-175.554642
10034.472656	-176.864334
10056.005859	-176.011642
10077.539063	-177.307816
10099.072266	-176.298477
10120.605469	-177.339722
10142.138672	-176.709045
10163.671875	-177.057999
10185.205078	-174.719559
10206.738281	-176.174210
10228.271484	-173.462448
10249.804688	-169.847931
10271.337891	-164.727966
10292.871094	-167.913986
10314.404297	-168.588486
10335.937500	-172.082245
10357.470703	-174.100800
10379.003906	-170.673996
10400.537109	-169.718063
10422.070313	-169.830170
10443.603516	-169.750687
10465.136719	-173.003189
10486.669922	-176.853195
10508.203125	-178.593613
10529.736328	-178.885849
10551.269531	-174.930405
10572.802734	-175.160034
10594.335938	-178.037430
10615.869141	-178.155472
10637.402344	-177.865143
10658.935547	-176.491333
10680.468750	-175.778015
10702.001953	-175.435150
10723.535156	-176.525070
10745.068359	-174.356781
10766.601563	-178.571991
10788.134766	-176.117584
10809.667969	-177.983795
10831.201172	-176.488739
10852.734375	-174.588898
10874.267578	-177.134232
10895.800781	-176.598267
10917.333984	-175.576584
10938.867188	-172.517609
10960.400391	-173.166077
10981.933594	-173.999146
11003.466797	-174.256439
11025.000000	-177.363449
11046.533203	-176.851456
11068.066406	-176.465805
11089.599609	-175.653229
11111.132813	-175.570892
11132.666016	-177.348862
11154.199219	-177.572235
11175.732422	-177.357697
11197.265625	-178.435349
11218.798828	-178.154617
11240.332031	-179.052460
11261.865234	-177.348679
11283.398438	-176.484146
11304.931641	-176.629211
11326.464844	-173.929321
11347.998047	-177.369385
11369.531250	-177.505859
11391.064453	-178.468124
11412.597656	-176.745041
11434.130859	-175.855591
11455.664063	-174.755951
11477.197266	-176.129547
11498.730469	-176.419189
11520.263672	-177.662125
11541.796875	-177.572128
11563.330078	-177.092667
11584.863281	-172.323212
11606.396484	-167.539627
11627.929688	-164.157471
11649.462891	-170.093567
11670.996094	-172.664124
11692.529297	-173.494064
11714.062500	-172.479736
11735.595703	-167.215897
11757.128906	-163.387527
11778.662109	-163.143021
11800.195313	-164.980591
11821.728516	-171.740387
11843.261719	-171.626083
11864.794922	-173.317078
11886.328125	-175.449341
11907.861328	-174.360794
11929.394531	-175.170105
11950.927734	-176.101624
11972.460938	-177.143478
11993.994141	-176.847794
12015.527344	-177.535355
12037.060547	-175.642853
12058.593750	-174.808441
12080.126953	-176.544434
12101.660156	-175.181961
12123.193359	-175.352203
12144.726563	-177.304626
12166.259766	-177.922592
12187.792969	-176.797119
12209.326172	-175.249481
12230.859375	-176.080338
12252.392578	-177.080521
12273.925781	-175.991196
12295.458984	-175.148895
12316.992188	-174.941055
12338.525391	-174.136063
12360.058594	-174.472794
12381.591797	-170.562897
12403.125000	-175.884415
12424.658203	-176.725281
12446.191406	-174.831329
12467.724609	-173.437378
12489.257813	-176.127808
12510.791016	-178.540909
12532.324219	-176.086548
12553.857422	-177.386642
12575.390625	-178.134888
12596.923828	-179.314362
12618.457031	-179.473938
12639.990234	-176.846527
12661.523438	-178.021011
12683.056641	-176.798492
12704.589844	-178.381073
12726.123047	-178.497101
12747.656250	-178.408157
12769.189453	-178.354813
12790.722656	-176.232437
12812.255859	-175.983185
12833.789063	-177.483658
12855.322266	-176.066254
12876.855469	-177.260376
12898.388672	-177.190842
12919.921875	-178.831940
12941.455078	-178.738403
12962.988281	-176.068619
12984.521484	-176.848297
13006.054688	-170.463440
13027.587891	-170.718033
13049.121094	-170.918640
13070.654297	-176.358597
13092.187500	-175.955750
13113.720703	-173.896759
13135.253906	-173.188232
13156.787109	-172.118042
13178.320313	-171.589279
13199.853516	-175.005875
13221.386719	-179.251648
13242.919922	-176.265823
13264.453125	-179.264404
13285.986328	-178.604813
13307.519531	-176.851105
13329.052734	-177.696579
13350.585938	-177.454605
13372.119141	-176.328873
13393.652344	-176.885941
13415.185547	-172.171005
13436.718750	-174.154785
13458.251953	-175.897232
13479.785156	-172.987289
13501.318359	-174.323227
13522.851563	-176.823456
13544.384766	-175.587006
13565.917969	-172.326523
13587.451172	-173.274719
13608.984375	-177.563278
13630.517578	-176.642990
13652.050781	-179.289383
13673.583984	-175.577148
13695.117188	-174.858078
13716.650391	-172.792267
13738.183594	-174.969681
13759.716797	-175.360657
13781.250000	-177.828781
13802.783203	-177.902435
13824.316406	-177.092865
13845.849609	-174.637131
13867.382813	-174.463547
